00002400,23.10,24.15,0.00,0.89,0
00002900,23.75,24.59,0.50,0.88,0
00003400,23.77,24.64,1.00,0.88,0
00003900,23.72,24.56,1.50,0.88,0
00004400,23.71,24.60,2.00,0.88,0
00004800,23.71,24.58,2.50,0.88,0
00005300,23.70,24.64,3.00,0.89,0
00005800,23.68,24.62,3.50,0.89,0
00006300,23.72,24.61,4.00,0.89,0
00006800,23.69,24.60,4.50,0.89,0
00007300,23.79,24.61,5.00,0.89,0
00007800,23.73,24.56,5.50,0.89,0
00008300,23.73,24.61,6.00,0.89,0
00008800,23.82,24.60,6.50,0.89,0
00009300,23.75,24.60,7.00,0.89,0
00009800,23.77,24.59,7.50,0.89,0
00010300,23.72,24.65,8.00,0.89,0
00010800,23.70,24.68,8.50,0.89,0
00011300,23.76,24.60,9.00,0.89,0
00011800,23.70,24.61,9.50,0.89,0
00012300,23.73,24.59,10.00,0.89,0
00012800,23.68,24.57,10.50,0.89,0
00013300,23.70,24.64,11.00,0.89,0
00013800,23.68,24.59,11.50,0.90,0
00014300,23.76,24.60,12.00,0.89,0
00014800,23.67,24.66,12.50,0.90,0
00015300,23.79,24.59,13.00,0.90,0
00015800,23.75,24.56,13.50,0.90,0
00016300,23.76,24.52,14.00,0.90,0
00016800,23.73,24.65,14.50,0.90,0
00017300,23.67,24.62,15.00,0.90,0
00017800,23.75,24.66,15.50,0.90,0
00018300,23.76,24.59,0.00,0.90,0
00018800,23.75,24.60,0.50,0.90,0
00019300,23.72,24.67,1.00,0.90,0
00019800,23.78,24.62,1.50,0.90,0
00020300,23.75,24.61,2.00,0.90,0
00020800,23.79,24.60,2.50,0.90,0
00021300,23.83,24.57,3.00,0.90,0
00021800,23.80,24.58,3.50,0.90,0
00022300,23.73,24.58,4.00,0.90,0
00022800,23.86,24.64,4.50,0.90,0
00023300,23.77,24.60,5.00,0.91,0
00023800,23.79,24.60,5.50,0.91,0
00024300,23.76,24.57,6.00,0.91,0
00024800,23.77,24.60,6.50,0.91,0
00025300,23.80,24.60,7.00,0.91,0
00025800,23.80,24.71,7.50,0.91,0
00026300,23.76,24.61,8.00,0.91,0
00026800,23.80,24.62,8.50,0.91,0
00027300,23.75,24.65,9.00,0.91,0
00027800,23.76,24.64,9.50,0.91,0
00028300,23.75,24.57,10.00,0.91,0
00028800,23.76,24.56,10.50,0.91,0
00029300,23.75,24.58,11.00,0.91,0
00029800,23.77,24.59,11.50,0.91,0
00030300,23.72,24.58,12.00,0.91,0
00030800,23.80,24.58,12.50,0.91,0
00031300,23.77,24.62,13.00,0.91,0
